Date,Open,High,Low,Close,Volume
2025-03-17,1010.2366012913976,1038.1128019842872,1010.2366012913976,1033.2669677734375,5938668
2025-03-18,1033.2669677734375,1033.2669677734375,1033.2669677734375,1033.2669677734375,0
2025-03-19,1046.9053623518132,1057.646183234451,1042.6089852123262,1051.1517333984375,4822365
2025-03-20,1055.3481090881514,1057.9958707491392,1046.0061170837591,1053.44970703125,3742644
2025-03-21,1053.4496491429936,1074.6316193008408,1049.6529672039042,1069.2362060546875,6848565
2025-03-24,1081.0760349569089,1104.0063882058416,1072.783073887539,1096.9124755859375,8284863
2025-03-25,1109.002216272288,1122.5406953407569,1095.413853076155,1117.594970703125,11720528
2025-03-26,1114.047955120439,1117.8946433973692,1088.1201613639344,1095.31396484375,7127060
2025-03-27,1091.067555947459,1107.053893763539,1087.1708617115737,1097.412109375,8508917
2025-03-28,1097.462058532138,1106.0546902692902,1085.5721960050441,1101.0589599609375,4921190
2025-04-01,1092.2664595426536,1100.3096343737684,1069.0863189829122,1084.6729736328125,6638140
2025-04-02,1090.76773491548,1094.664429049867,1079.8271340440042,1083.52392578125,4065344
2025-04-03,1077.9787109284953,1091.017493860897,1074.381809497697,1088.9193115234375,5345660
2025-04-04,1080.5764837084853,1100.9590880995302,1074.5316011481896,1090.3681640625,6059991
2025-04-07,1034.1161611572818,1068.087126837811,1031.4683997330853,1047.0550537109375,9720457
2025-04-08,1060.093978570394,1084.0234781220995,1059.3946251089444,1076.9295654296875,8723357
2025-04-09,1072.1837048584816,1080.926233635811,1057.096622447392,1060.7435302734375,6690201
2025-04-11,1062.392153253822,1071.7840295190008,1056.6470628741667,1068.0372314453125,8144072
2025-04-15,1089.0692731441595,1116.0462184422258,1082.0752502891053,1111.849853515625,9320299
2025-04-16,1121.7413327534418,1162.5065444211673,1111.6499810412404,1160.3084716796875,12836428
2025-04-17,1154.613187862119,1198.1759326401855,1152.6148956982988,1189.783203125,13446336
2025-04-21,1200.9736202361637,1237.6422335650964,1197.0769260268742,1221.9556884765625,15166580
2025-04-22,1229.3493484820563,1233.9453960091998,1211.0649266211587,1215.760986328125,8461710
2025-04-23,1224.2538202977976,1228.9497583930292,1193.8797530955178,1205.8695068359375,9433911
2025-04-24,1198.0760451934377,1218.9582227468238,1198.0760451934377,1206.0692138671875,9078137
2025-04-25,1175.9950141977513,1178.8925624152441,1145.0214836623813,1165.30419921875,17243807
2025-04-28,1165.3041229955159,1194.9787128132273,1163.3058308336208,1191.781494140625,5523502
2025-04-29,1192.9804852009415,1208.966823361088,1183.3887066980697,1186.2862548828125,6074520
2025-04-30,1184.0880493990605,1192.8805840933246,1173.996697920787,1183.9881591796875,6288257
2025-05-02,1181.0905876428099,1209.4663614496308,1179.092295430584,1182.3895263671875,5249372
2025-05-05,1188.9838228735969,1188.9838228735969,1163.305817670235,1172.1981201171875,7236056
2025-05-06,1176.9941263517048,1177.7934920320934,1156.711411381114,1160.4083251953125,5348267
2025-05-07,1158.0103867504365,1167.6021653881123,1151.9156196344402,1160.3084716796875,4263817
2025-05-08,1169.000902041538,1177.9932166726269,1164.6046349397911,1171.198974609375,9912347
2025-05-09,1159.0094902220203,1171.1990240051655,1147.5193099310263,1150.1170654296875,5379571
2025-05-12,1183.9881482207568,1207.9676550201646,1174.1964674912338,1201.9727783203125,7616208
2025-05-13,1204.17088139939,1213.7627819342401,1188.983908829347,1192.580810546875,5569926
2025-05-14,1194.8788087975402,1198.3758200404661,1184.887348103466,1194.4791259765625,4084921
2025-05-15,1195.9778616685178,1215.960783333823,1183.9881086693347,1208.0675048828125,6705748
